Group,Scale,Type,Error_Percentage,PAI,F1_Score
Group_6,Grid_100,Random,100,9.5243,0.8808
Group_6,Grid_300,Baseline,0,9.4737,1
Group_6,Grid_300,Centroid,100,9.7964,0.7145
Group_6,Grid_300,Random,100,8.3722,0.7113
Group_6,Grid_500,Baseline,0,9.4737,1
Group_6,Grid_500,Centroid,100,5.8966,0.4162
Group_6,Grid_500,Random,100,6.5546,0.5752
Group_6,Neighborhood,Baseline,0,9.4737,1
Group_6,Neighborhood,Centroid,100,2.9544,0.0965
Group_6,Neighborhood,Random,100,4.3375,0.3202
Group_6,Street,Baseline,0,9.4737,1
Group_6,Street,Centroid,100,5.2392,0.2822
Group_6,Street,Random,100,6.8612,0.5549
Group_6,Tract,Baseline,0,9.4737,1
Group_6,Tract,Centroid,100,3.6149,0.2218
Group_6,Tract,Random,100,5.9424,0.4628
Group_7,Grid_100,Baseline,0,10.949,1
Group_7,Grid_100,Centroid,100,11.2925,0.8882
Group_7,Grid_100,Random,100,11.0541,0.8872
Group_7,Grid_300,Baseline,0,10.949,1
Group_7,Grid_300,Centroid,100,10.6058,0.7289
Group_7,Grid_300,Random,100,9.5204,0.728
Group_7,Grid_500,Baseline,0,10.949,1
Group_7,Grid_500,Centroid,100,6.0229,0.4086
Group_7,Grid_500,Random,100,7.5137,0.5771
Group_7,Neighborhood,Baseline,0,10.949,1
Group_7,Neighborhood,Centroid,100,3.6512,0.1055
Group_7,Neighborhood,Random,100,4.6351,0.3203
Group_7,Street,Baseline,0,10.949,1
Group_7,Street,Centroid,100,7.2896,0.3077
Group_7,Street,Random,100,7.2479,0.5683
Group_7,Tract,Baseline,0,10.949,1
Group_7,Tract,Centroid,100,4.1388,0.2197
Group_7,Tract,Random,100,6.895,0.4623
Group_8,Grid_100,Baseline,0,11.3821,1
Group_8,Grid_100,Centroid,100,11.2283,0.8789
Group_8,Grid_100,Random,100,11.1431,0.8751
Group_8,Grid_300,Baseline,0,11.3821,1
Group_8,Grid_300,Centroid,100,10.7894,0.7178
Group_8,Grid_300,Random,100,9.8595,0.7148
Group_8,Grid_500,Baseline,0,11.3821,1
Group_8,Grid_500,Centroid,100,7.2185,0.4063
Group_8,Grid_500,Random,100,7.6424,0.5646
Group_8,Neighborhood,Baseline,0,11.3821,1
Group_8,Neighborhood,Centroid,100,2.9747,0.1046
Group_8,Neighborhood,Random,100,4.6562,0.3143
Group_8,Street,Baseline,0,11.3821,1
Group_8,Street,Centroid,100,5.495,0.2965
Group_8,Street,Random,100,7.5354,0.5554
Group_8,Tract,Baseline,0,11.3821,1
Group_8,Tract,Centroid,100,4.1407,0.2189
Group_8,Tract,Random,100,6.557,0.4501
Group_9,Grid_100,Baseline,0,10.9424,1
Group_9,Grid_100,Centroid,100,10.9306,0.8818
Group_9,Grid_100,Random,100,10.8132,0.8783
Group_9,Grid_300,Baseline,0,10.9424,1
Group_9,Grid_300,Centroid,100,10.2226,0.7269
Group_9,Grid_300,Random,100,9.6341,0.7214
Group_9,Grid_500,Baseline,0,10.9424,1
Group_9,Grid_500,Centroid,100,7.4945,0.4307
Group_9,Grid_500,Random,100,7.5118,0.5894
Group_9,Neighborhood,Baseline,0,10.9424,1
Group_9,Neighborhood,Centroid,100,2.4492,0.1142
Group_9,Neighborhood,Random,100,4.6802,0.3412
Group_9,Street,Baseline,0,10.9424,1
Group_9,Street,Centroid,100,5.8823,0.287
Group_9,Street,Random,100,7.2797,0.5577
Group_9,Tract,Baseline,0,10.9424,1
Group_9,Tract,Centroid,100,4.2843,0.2296
Group_9,Tract,Random,100,6.7144,0.4549
